aro_accession,aro_name,amr_gene_family,drug_class,mechanism,hierarchy_node
aac(2')-I(A267),aminoglycoside N-acetyltransferase AAC(2')-I(A267),aminoglycoside N-acetyltransferase AAC(2')-I(A267),AMINOGLYCOSIDE|GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(2')-I(A267)
aac(2')-IIa,kasugamycin N-acetyltransferase AAC(2')-IIa,kasugamycin N-acetyltransferase AAC(2')-IIa,AMINOGLYCOSIDE|KASUGAMYCIN,n-acetyltransferase,aac(2')-IIa
aac(2')-IIb,kasugamycin N-acetyltransferase AAC(2')-IIb,kasugamycin N-acetyltransferase AAC(2')-IIb,AMINOGLYCOSIDE|KASUGAMYCIN,n-acetyltransferase,aac(2')-IIb
aac(2')-Ia,aminoglycoside N-acetyltransferase AAC(2')-Ia,aminoglycoside N-acetyltransferase AAC(2')-Ia,AMINOGLYCOSIDE|GENTAMICIN/PLAZOMICIN/TOBRAMYCIN,n-acetyltransferase,aac(2')-Ia
aac(2')-Ib,aminoglycoside N-acetyltransferase AAC(2')-Ib,aminoglycoside N-acetyltransferase AAC(2')-Ib,AMINOGLYCOSIDE|GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(2')-Ib
aac(2')-Ic,aminoglycoside N-acetyltransferase AAC(2')-Ic,aminoglycoside N-acetyltransferase AAC(2')-Ic,AMINOGLYCOSIDE|GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(2')-Ic
aac(2')-Id,aminoglycoside N-acetyltransferase AAC(2')-Id,aminoglycoside N-acetyltransferase AAC(2')-Id,AMINOGLYCOSIDE|GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(2')-Id
aac(2')-Ie,aminoglycoside N-acetyltransferase AAC(2')-Ie,aminoglycoside N-acetyltransferase AAC(2')-Ie,AMINOGLYCOSIDE|GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(2')-Ie
aac(3)-C1264,aminoglycoside N-acetyltransferase AAC(3)-C1264,aminoglycoside N-acetyltransferase AAC(3)-C1264,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aac(3)-C1264
aac(3)-C322,aminoglycoside N-acetyltransferase AAC(3)-C322,aminoglycoside N-acetyltransferase AAC(3)-C322,AMINOGLYCOSIDE|GENTAMICIN/KANAMYCIN/TOBRAMYCIN,n-acetyltransferase,aac(3)-C322
aac(3)-I,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-I
aac(3)-IIIa,aminoglycoside N-acetyltransferase AAC(3)-IIIa,aminoglycoside N-acetyltransferase AAC(3)-IIIa,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIIa
aac(3)-IIIb,aminoglycoside N-acetyltransferase AAC(3)-IIIb,aminoglycoside N-acetyltransferase AAC(3)-IIIb,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIIb
aac(3)-IIIc,aminoglycoside N-acetyltransferase AAC(3)-IIIc,aminoglycoside N-acetyltransferase AAC(3)-IIIc,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIIc
aac(3)-IIa,aminoglycoside N-acetyltransferase AAC(3)-IIa,aminoglycoside N-acetyltransferase AAC(3)-IIa,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIa
aac(3)-IIb,aminoglycoside N-acetyltransferase AAC(3)-IIb,aminoglycoside N-acetyltransferase AAC(3)-IIb,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIb
aac(3)-IIc,aminoglycoside N-acetyltransferase AAC(3)-IIc,aminoglycoside N-acetyltransferase AAC(3)-IIc,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIc
aac(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,aminoglycoside N-acetyltransferase AAC(3)-IId,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IId
aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIe
aac(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,aminoglycoside N-acetyltransferase AAC(3)-IIg,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-IIg
aac(3)-IVa,aminoglycoside N-acetyltransferase AAC(3)-IVa,aminoglycoside N-acetyltransferase AAC(3)-IVa,AMINOGLYCOSIDE|APRAMYCIN/GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(3)-IVa
aac(3)-IVb,aminoglycoside N-acetyltransferase AAC(3)-IVb,aminoglycoside N-acetyltransferase AAC(3)-IVb,AMINOGLYCOSIDE|APRAMYCIN/GENTAMICIN/TOBRAMYCIN,n-acetyltransferase,aac(3)-IVb
aac(3)-IXa,aminoglycoside N-acetyltransferase AAC(3)-IXa,aminoglycoside N-acetyltransferase AAC(3)-IXa,AMINOGLYCOSIDE,n-acetyltransferase,aac(3)-IXa
aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Ia
aac(3)-Ib,aminoglycoside N-acetyltransferase AAC(3)-Ib,aminoglycoside N-acetyltransferase AAC(3)-Ib,AMINOGLYCOSIDE|GENTAMICIN,n-acetyltransferase,aac(3)-Ib
